time;voltage;current;soc
638.0;4.128;0.153;0.9914056637806673
639.0;4.128;0.153;0.9913918650793686
640.0;4.128;0.153;0.9913780663780699
641.0;4.128;0.153;0.9913642676767712
642.0;4.128;0.153;0.9913504689754725
643.0;4.128;0.153;0.9913366702741738
644.0;4.128;0.153;0.9913228715728751
645.0;4.127;0.153;0.9913090728715764
646.0;4.127;0.153;0.9912952741702777
647.0;4.127;0.153;0.991281475468979
648.0;4.127;0.153;0.9912676767676804
649.0;4.127;0.153;0.9912538780663817
650.0;4.127;0.153;0.991240079365083
651.0;4.127;0.153;0.9912262806637843
652.0;4.127;0.153;0.9912124819624856
653.0;4.127;0.153;0.9911986832611869
654.0;4.127;0.153;0.9911848845598882
655.0;4.127;0.153;0.9911710858585895
656.0;4.127;0.153;0.9911572871572908
657.0;4.127;0.153;0.9911434884559921
658.0;4.127;0.153;0.9911296897546934
659.0;4.127;0.153;0.9911158910533947
660.0;4.127;0.153;0.991102092352096
661.0;4.127;0.153;0.9910882936507973
662.0;4.127;0.153;0.9910744949494986
663.0;4.127;0.153;0.9910606962481999
664.0;4.127;0.153;0.9910468975469012
665.0;4.127;0.153;0.9910330988456025
666.0;4.127;0.153;0.9910193001443038
667.0;4.127;0.153;0.9910055014430051
668.0;4.127;0.153;0.9909917027417064
669.0;4.127;0.153;0.9909779040404078
670.0;4.127;0.153;0.9909641053391091
671.0;4.127;0.153;0.9909503066378104
672.0;4.127;0.153;0.9909365079365117
673.0;4.127;0.153;0.990922709235213
674.0;4.127;0.153;0.9909089105339143
675.0;4.127;0.153;0.9908951118326156
676.0;4.127;0.153;0.9908813131313169
677.0;4.127;0.153;0.9908675144300182
678.0;4.127;0.153;0.9908537157287195
679.0;4.127;0.153;0.9908399170274208
680.0;4.127;0.152;0.9908262085137123
681.0;4.127;0.153;0.9908124098124136
682.0;4.127;0.153;0.9907986111111149
683.0;4.126;0.153;0.9907848124098162
684.0;4.126;0.153;0.9907710137085175
685.0;4.126;0.153;0.9907572150072188
686.0;4.126;0.153;0.9907434163059201
687.0;4.126;0.153;0.9907296176046214
688.0;4.126;0.153;0.9907158189033227
689.0;4.126;0.153;0.990702020202024
690.0;4.126;0.153;0.9906882215007253
691.0;4.126;0.153;0.9906744227994266
692.0;4.126;0.153;0.9906606240981279
693.0;4.126;0.153;0.9906468253968292
694.0;4.126;0.153;0.9906330266955305
695.0;4.126;0.153;0.9906192279942319
696.0;4.126;0.153;0.9906054292929332
697.0;4.126;0.153;0.9905916305916345
698.0;4.126;0.153;0.9905778318903358
699.0;4.126;0.153;0.9905640331890371
700.0;4.126;0.153;0.9905502344877384
701.0;4.126;0.153;0.9905364357864397
702.0;4.126;0.153;0.990522637085141
703.0;4.126;0.153;0.9905088383838423
704.0;4.126;0.153;0.9904950396825436
705.0;4.126;0.153;0.9904812409812449
706.0;4.126;0.153;0.9904674422799462
707.0;4.126;0.153;0.9904536435786475
708.0;4.126;0.153;0.9904398448773488
709.0;4.126;0.153;0.9904260461760501
710.0;4.126;0.153;0.9904122474747514
711.0;4.126;0.153;0.9903984487734527
712.0;4.126;0.152;0.9903847402597442
713.0;4.126;0.153;0.9903709415584455
714.0;4.126;0.153;0.9903571428571468
715.0;4.126;0.153;0.9903433441558481
716.0;4.126;0.153;0.9903295454545494
717.0;4.126;0.153;0.9903157467532507
718.0;4.126;0.153;0.990301948051952
719.0;4.126;0.153;0.9902881493506533
720.0;4.126;0.153;0.9902743506493547
721.0;4.126;0.153;0.990260551948056
722.0;4.126;0.153;0.9902467532467573
723.0;4.126;0.153;0.9902329545454586
724.0;4.125;0.153;0.9902191558441599
725.0;4.125;0.153;0.9902053571428612
726.0;4.125;0.153;0.9901915584415625
727.0;4.125;0.153;0.9901777597402638
728.0;4.125;0.153;0.9901639610389651
729.0;4.125;0.153;0.9901501623376664
730.0;4.125;0.153;0.9901363636363677
731.0;4.125;0.153;0.990122564935069
732.0;4.125;0.153;0.9901087662337703
733.0;4.125;0.153;0.9900949675324716
734.0;4.125;0.153;0.9900811688311729
735.0;4.125;0.153;0.9900673701298742
736.0;4.125;0.153;0.9900535714285755
737.0;4.125;0.153;0.9900397727272768
738.0;4.125;0.153;0.9900259740259781
739.0;4.125;0.153;0.9900121753246794
740.0;4.125;0.153;0.9899983766233807
741.0;4.125;0.153;0.989984577922082
