Tempo_s,Corrente_A,Tensao_V,Temperatura_C
63.0,0.77,4.133274963985195,35.068732196143735
64.0,0.77,4.1331401823266285,35.06979816259618
65.0,0.77,4.13300690152472,35.07086195850085
66.0,0.77,4.132873922505577,35.07192525564543
67.0,0.77,4.1327424294777195,35.072986096873926
68.0,0.77,4.132611131927868,35.074046548014834
69.0,0.77,4.132481908818205,35.075102859491274
70.0,0.77,4.132352685708541,35.076159170967706
71.0,0.77,4.132223462598877,35.077215482444146
72.0,0.77,4.132094239489213,35.078271793920585
73.0,0.77,4.131967132079621,35.079322705989775
74.0,0.77,4.131840206788188,35.08037315328132
75.0,0.77,4.131713281496755,35.08142360057286
76.0,0.77,4.131586628548442,35.0824730723887
77.0,0.77,4.131461287507244,35.08351784522952
78.0,0.77,4.131335946466045,35.08456261807035
79.0,0.77,4.131210605424846,35.08560739091118
80.0,0.77,4.131085724986395,35.08664972324575
81.0,0.77,4.130961472659765,35.08768872752629
82.0,0.77,4.1308372203331345,35.08872773180684
83.0,0.77,4.130712968006504,35.089766736087384
84.0,0.77,4.130589206556468,35.090801799434324
85.0,0.77,4.130465682280761,35.09183495866057
86.0,0.77,4.130342158005053,35.092868117886816
87.0,0.77,4.1302186337293465,35.09390127711306
88.0,0.77,4.130095518934598,35.09492897130556
89.0,0.77,4.129972437150859,35.09595622492501
90.0,0.77,4.12984935536712,35.09698347854446
91.0,0.77,4.129726312610615,35.098009734002616
92.0,0.77,4.129603451867812,35.099031334274926
93.0,0.77,4.1294805911250085,35.100052934547236
94.0,0.77,4.129357730382205,35.101074534819546
95.0,0.77,4.129234953032298,35.10209181230825
96.0,0.77,4.129112196191843,35.103108026661694
97.0,0.77,4.12898943935139,35.10412424101513
98.0,0.77,4.128866708631855,35.10513813768852
99.0,0.77,4.128744012728239,35.106148945184216
100.0,0.77,4.128621316824624,35.10715975267992
101.0,0.77,4.128498624726252,35.108170263614284
102.0,0.77,4.12837599838465,35.10917564980048
103.0,0.77,4.128253372043048,35.11018103598668
104.0,0.77,4.128130745701446,35.11118642217287
105.0,0.77,4.12800821347147,35.11218829690139
106.0,0.77,4.127885725376808,35.113188524869614
107.0,0.77,4.127763237282148,35.11418875283784
108.0,0.77,4.1276408806519145,35.115185830554346
109.0,0.77,4.127518596633504,35.11618116829055
110.0,0.77,4.127396312615093,35.11717650602675
111.0,0.77,4.127274194200301,35.118168872370795
112.0,0.77,4.127152182719777,35.11915932001497
113.0,0.77,4.127030171239252,35.12014976765915
114.0,0.77,4.126908360948025,35.12113742419105
115.0,0.77,4.126786701765055,35.122122984388206
116.0,0.77,4.126665042582086,35.123108544585364
117.0,0.77,4.126543615332137,35.124091494967914
118.0,0.77,4.126422390057898,35.12507217262898
119.0,0.77,4.1263011647836585,35.12605285029006
120.0,0.77,4.126180196200081,35.127031100254825
121.0,0.77,4.126059486407417,35.12800690265978
122.0,0.77,4.1259387766147535,35.12898270506473
123.0,0.77,4.125818344761757,35.12995626230989
124.0,0.77,4.125698237345421,35.13092719879868
125.0,0.77,4.125578129929087,35.13189813528748
126.0,0.77,4.125458317131129,35.132867009257446
127.0,0.77,4.125338903182697,35.133833091023256
128.0,0.77,4.125219489234265,35.134799172789066
129.0,0.77,4.125100551130833,35.13576243751011
130.0,0.77,4.12498236266974,35.13672126428176
